ProductID,Name,Category,Supplier,Price,StockQuantity
004-0009,Apple Juice,Beverages,Voomm,$20.00 ,62
004-0010,Chocolate Milk,Beverages,Yadel,$21.00 ,74
004-0011,Energy Drink,Beverages,Oyoyo,$8.00 ,63
004-0012,Aloe vera juice,Beverages,Browsecat,$31.00 ,48
004-0013,Orange juice,Beverages,Topicstorm,$5.00 ,56
004-0014,Mango juice,Beverages,Photofeed,$10.00 ,62
005-0001,Sushi Rice,Grains & Pulses,Jaxnation,$4.50 ,22
005-0002,Black Rice,Grains & Pulses,Vinder,$6.00 ,30
005-0003,Long Grain Rice,Grains & Pulses,Brightbean,$1.50 ,12
005-0004,All-Purpose Flour,Grains & Pulses,Dabjam,$1.75 ,55
005-0005,White Sugar,Grains & Pulses,Zooxo,$2.00 ,91
005-0006,Bread Flour,Grains & Pulses,Mynte,$1.50 ,27
005-0007,Raw Sugar,Grains & Pulses,Mydo,$1.50 ,31
005-0008,Short Grain Rice,Grains & Pulses,Snaptags,$3.00 ,60
005-0009,Arborio Rice,Grains & Pulses,Feedmix,$4.50 ,20
005-0010,Jasmine Rice,Grains & Pulses,Yadel,$4.75 ,91
005-0011,Rice Flour,Grains & Pulses,Mynte,$2.00 ,52
005-0012,Almond Flour,Grains & Pulses,Brainverse,$9.50 ,13
005-0013,White Rice,Grains & Pulses,Centidel,$1.80 ,20
005-0014,Cauliflower,Grains & Pulses,Shufflester,$3.20 ,40
005-0015,Powdered Sugar,Grains & Pulses,Meeveo,$2.50 ,68
005-0016,Whole Wheat Flour,Grains & Pulses,Gigaclub,$2.75 ,67
005-0017,Basmati Rice,Grains & Pulses,Trilia,$4.50 ,56
005-0018,Brown Rice,Grains & Pulses,Oyondu,$2.50 ,17
005-0019,Coconut Sugar,Grains & Pulses,Bubblebox,$5.00 ,20
005-0020,Wild Rice,Grains & Pulses,Devbug,$10.00 ,46
006-0001,Corn Oil,Oils & Fats,Tagfeed,$2.50 ,96
006-0002,Olive Oil,Oils & Fats,Kamba,$6.00 ,47
006-0003,Peanut Oil,Oils & Fats,Bluezoom,$4.00 ,64
006-0004,Palm Oil,Oils & Fats,Zooxo,$1.80 ,43
006-0005,Canola Oil,Oils & Fats,Mydeo,$2.30 ,91
006-0006,Avocado Oil,Oils & Fats,Skajo,$10.00 ,99
006-0007,Vegetable Oil,Oils & Fats,Trudeo,$2.00 ,57
006-0008,Sesame Oil,Oils & Fats,Feedbug,$6.50 ,27
006-0009,Sunflower Oil,Oils & Fats,Skidoo,$2.50 ,88
006-0010,Coconut Oil,Oils & Fats,Gevee,$5.00 ,33
007-0001,Trout,Seafood,Jabbertype,$12.00 ,49
007-0002,Haddock,Seafood,Midel,$9.00 ,46
007-0003,Sardines,Seafood,Ntag,$6.00 ,91
007-0004,Tilapia,Seafood,Fiveclub,$7.00 ,95
007-0005,Cod,Seafood,Devbug,$8.00 ,23
007-0006,Tuna,Seafood,Meemm,$18.00 ,25
007-0007,Anchovies,Seafood,Jaxspan,$10.00 ,88
007-0008,Mackerel,Seafood,Janyx,$7.50 ,71
007-0009,Halibut,Seafood,Jaxspan,$20.00 ,40
007-0010,Salmon,Seafood,Feedfish,$15.00 ,88
008-0001,Beef Ribeye,Meats,Johnson Meats,$420.00 ,47
008-0002,Pork Belly,Meats,Anderson Foods,$280.00 ,23
008-0003,Chicken Breast,Meats,Smith Supplies,$190.00 ,39
008-0004,Lamb Shoulder,Meats,Taylor Farms,$350.00 ,15
008-0005,Beef Tenderloin,Meats,Brown Brothers,$500.00 ,28
008-0006,Pork Chop,Meats,Miller Provisions,$230.00 ,44
008-0007,Chicken Thigh,Meats,Davis Foods,$160.00 ,19
008-0008,Duck Breast,Meats,Wilson Traders,$370.00 ,12
008-0009,Goat Leg,Meats,Clark Meat Co.,$310.00 ,36
008-0010,Turkey Drumstick,Meats,Lewis Foods,$210.00 ,25
008-0011,Beef Brisket,Meats,Harris Butchers,$400.00 ,41
008-0012,Pork Ribs,Meats,Martin Foods,$290.00 ,32
008-0013,Chicken Wings,Meats,Roberts Suppliers,$150.00 ,48
008-0014,Lamb Rack,Meats,Walker Farms,$460.00 ,11
008-0015,Beef Sirloin,Meats,Young Distributors,$380.00 ,37
008-0016,Pork Ham,Meats,Hall Foods,$250.00 ,27
008-0017,Chicken Liver,Meats,Allen Provisions,$120.00 ,10
008-0018,Veal Cutlet,Meats,Wright Meatworks,$340.00 ,16
008-0019,Beef Flank,Meats,Hill Distributors,$320.00 ,30
008-0020,Chicken Drumstick,Meats,Scott Supplies,$170.00 ,50
